,latitude,longitude,state,station,month,air temperature - dry bulb (°c),geometry
2985,-18.91694443,-48.25555555,MG,UBERLANDIA,5,20.00672043010754,POINT (-48.25555555 -18.91694443)
1287,-22.04166666,-41.05194444,RJ,SAO TOME,5,23.014569266693172,POINT (-41.05194444 -22.04166666)
3273,-17.89284,-41.515423,MG,TEOFILO OTONI,5,22.08918010752686,POINT (-41.515423 -17.89284)
175,-23.84499999,-46.14305555,SP,BERTIOGA,5,21.638575268817217,POINT (-46.14305555 -23.84499999)
3261,-17.9,-41.51666666,MG,TEOFILO OTONI,5,21.634482731035995,POINT (-41.51666666 -17.9)
19,-24.96305555,-48.41638888,SP,BARRA DO TURVO,5,16.057577546118793,POINT (-48.41638888 -24.96305555)
477,-22.98833333,-43.19055555,RJ,RIO DE JANEIRO - FORTE DE COPACABANA,5,23.50369293142959,POINT (-43.19055555 -22.98833333)
1167,-22.33472221,-42.67694443,RJ,NOVA FRIBURGO - SALINAS,5,15.632661290322597,POINT (-42.67694443 -22.33472221)
831,-22.653579,-44.040916,RJ,RIO CLARO,5,19.31732659086903,POINT (-44.040916 -22.653579)
1929,-20.76277777,-42.86388888,MG,VICOSA,5,17.528950297428892,POINT (-42.86388888 -20.76277777)
939,-22.450924,-44.444786,RJ,RESENDE,5,21.28561827956988,POINT (-44.444786 -22.450924)
2877,-19.407181,-40.539825,ES,MARILANDIA,5,23.09529569892475,POINT (-40.539825 -19.407181)
489,-22.98833333,-43.19027777,RJ,FORTE DE COPACABANA,5,22.574725188045953,POINT (-43.19027777 -22.98833333)
2253,-20.35976,-47.77522,SP,ITUVERAVA,5,21.19852150537634,POINT (-47.77522 -20.35976)
3177,-18.52055554,-46.44055555,MG,PATOS DE MINAS,5,19.79155858433323,POINT (-46.44055555 -18.52055554)
1917,-20.909892,-47.114259,MG,SAO SEBASTIAO DO PARAISO,5,18.25940860215058,POINT (-47.114259 -20.909892)
819,-22.65361111,-44.04083333,RJ,RIO CLARO,5,19.030210693500365,POINT (-44.04083333 -22.65361111)
1905,-20.91,-47.11416666,MG,SAO SEBASTIAO DO PARAISO,5,18.645588954056688,POINT (-47.11416666 -20.91)
2265,-20.35972222,-47.77527777,SP,ITUVERAVA,5,18.232795698924726,POINT (-47.77527777 -20.35972222)
257,-23.52389,-46.86945,SP,BARUERI,5,19.365340113862246,POINT (-46.86945 -23.52389)
915,-22.46472222,-43.29138888,RJ,PICO DO COUTO,5,13.324939970487463,POINT (-43.29138888 -22.46472222)
2161,-20.46694443,-40.40388888,ES,VILA VELHA,5,22.078763440860204,POINT (-40.40388888 -20.46694443)
1773,-21.13305554,-48.84027777,SP,ARIRANHA,5,19.89937989891841,POINT (-48.84027777 -21.13305554)
3237,-18.200855,-45.459836,MG,TRES MARIAS,5,20.443110355053058,POINT (-45.459836 -18.200855)
1311,-21.980353,-47.883927,SP,SAO CARLOS,5,18.769556451612875,POINT (-47.883927 -21.980353)
1845,-21.100805,-41.039395,ES,PRES. KENNEDY,5,24.21034946236558,POINT (-41.039395 -21.100805)
281,-23.52333332,-46.86916666,SP,BARUERI,5,17.688666282973955,POINT (-46.86916666 -23.52333332)
2361,-20.25222222,-41.18999999,ES,VENDA NOVA DO IMIGRANTE,5,18.066850892947926,POINT (-41.18999999 -20.25222222)
525,-22.975694,-44.303444,RJ,ANGRA DOS REIS,5,23.024563172042967,POINT (-44.303444 -22.975694)
31,-24.96277777,-48.41638888,SP,BARRA DO TURVO,5,17.21099565879282,POINT (-48.41638888 -24.96277777)
1797,-21.104867,-42.375904,MG,MURIAE,5,21.359610215053774,POINT (-42.375904 -21.104867)
453,-23.04194444,-45.52027777,SP,TAUBATE,5,18.304386127959926,POINT (-45.52027777 -23.04194444)
783,-22.70277777,-47.62305554,SP,PIRACICABA,5,19.007168890940427,POINT (-47.62305554 -22.70277777)
2373,-20.17333332,-44.87499999,MG,DIVINOPOLIS,5,18.15940860215054,POINT (-44.87499999 -20.17333332)
1338,-21.95055555,-42.01027777,RJ,SANTA MARIA MADALENA,5,18.617540322580663,POINT (-42.01027777 -21.95055555)
2817,-19.48166666,-45.59388888,MG,DORES DO INDAIA,5,20.330918155586932,POINT (-45.59388888 -19.48166666)
